# These are copied from the output of the lidar height script,,,
# UTC-5,,,m
date,first_row,range,height
2019-06-25,125,21,0.19014553
2019-06-25,85,3,0.16926994
2019-06-25,105,5,0.2002554
2019-06-25,81,5,0.17924859
2019-06-25,121,12,0.2133306
2019-06-25,93,20,0.16136178
2019-06-25,145,4,0.21529469
2019-06-25,89,11,0.17159031
2019-06-25,13,4,0.17034109
2019-06-25,109,13,0.14870425
2019-06-25,25,22,0.15066066
2019-06-25,17,21,0.22779442
2019-06-25,33,22,0.2774069
2019-06-25,65,22,0.1674548
2019-06-25,105,25,0.20642951
2019-06-25,125,22,0.17217117
2019-06-25,73,14,0.17799335
2019-06-25,85,7,0.15230656
2019-06-25,149,11,0.17237041
2019-06-25,41,24,0.12969336
2019-06-25,97,22,0.29260445
2019-06-25,125,1,0.76360238
2019-06-25,121,11,0.17695148
2019-06-25,93,19,0.11914842
2019-06-25,109,10,0.17531184
2019-06-25,117,14,0.12790433
2019-06-25,5,2,0.17057077
2019-06-25,1,17,0.19031803
2019-06-25,109,7,0.16861918
2019-06-25,117,4,0.2263581
2019-06-25,137,9,0.18645639
2019-06-25,89,21,0.19295593
2019-06-25,121,20,0.1675783
2019-06-25,21,23,0.18271039
2019-06-25,153,20,0.18987425
2019-06-25,145,16,0.20228634
2019-06-25,117,7,0.17136667
2019-06-25,17,8,0.18819608
2019-06-25,41,3,0.13038643
2019-06-25,157,15,0.15311505
2019-06-25,117,19,0.15930066
2019-06-25,29,24,0.17943954
2019-06-25,145,13,0.1902051
2019-06-25,13,12,0.19362489
2019-06-25,53,16,0.17464375
2019-06-25,61,24,0.11672253
2019-06-25,13,26,0.26064265
2019-06-25,57,16,0.14321412
2019-06-25,145,19,0.86482257
2019-06-25,53,6,0.15734651
2019-06-25,101,9,0.16777265
2019-06-25,49,5,0.19666193
2019-06-25,49,15,0.21032207
2019-06-25,33,9,0.27706494
2019-06-25,41,6,0.15926522
2019-06-25,153,1,0.20940263
2019-06-25,29,18,0.28536704
2019-06-25,157,2,0.15591893
2019-06-25,33,11,0.26943534
2019-06-25,93,6,0.1090049
2019-06-25,101,3,0.16509736
2019-06-25,1,8,0.20024334
2019-06-25,109,8,0.52665364
2019-06-25,149,14,0.13112944
2019-06-25,5,8,0.26700629
2019-06-25,9,22,0.14814771
2019-06-25,9,5,0.16465034
2019-06-25,65,18,0.15590082
2019-06-25,53,21,0.14819402
2019-06-25,33,7,0.18149943
2019-06-25,53,25,0.12678998
2019-06-25,29,15,0.17129423
2019-06-25,57,11,0.18392905
2019-06-25,33,17,0.2175649
2019-06-25,89,6,0.15659975
2019-06-25,105,2,0.15331259
2019-06-25,5,3,0.19334279
2019-06-25,113,10,0.1410498
2019-06-25,81,20,0.12996495
2019-06-25,69,17,0.13090674
2019-06-25,29,6,0.22814247
