plot_id,site_id,date,moisture_mass_fraction_nir,moisture_mass_fraction_oven,above_ground_dry_yield,starch_mass_fraction,protein_mass_fraction,adf_mass_fraction,ndf_mass_fraction
19EF0527,EF,2019-09-17,0.731,,2.500662257,0.295476891,0.069497899,0.259510504,0.382029412
19EF0528,EF,2019-09-17,0.765086247,,2.952247754,0.259310023,0.071,0.274715618,0.417319347
19EF0529,EF,2019-09-17,0.745459296,,2.473125365,0.296364824,0.068364824,0.262905528,0.374716583
19EF0530,EF,2019-09-17,0.743043561,,2.649654419,0.294956439,0.068,0.266087121,0.381130682
19EF0531,EF,2019-09-17,0.758608219,,2.581085605,0.270396347,0.068400913,0.276198174,0.408990868
19EF0532,EF,2019-09-17,0.770714286,,2.789721503,0.255142857,0.071,0.284714286,0.419714286
19EF0533,EF,2019-09-16,0.737002278,,2.254822261,0.298997722,0.068501139,0.258,0.372498861
19EF0534,EF,2019-09-16,0.746,,2.537319524,0.28843304,0.069,0.26526784,0.384535679
19EF0535,EF,2019-09-16,0.753011538,,2.508278844,0.285413462,0.068,0.274563462,0.388609615
19EF0536,EF,2019-09-16,0.742616223,,2.075998466,0.29607385,0.067461259,0.266309927,0.380542373
19EF0537,EF,2019-09-16,0.755699115,,2.156548757,0.279522124,0.07,0.273477876,0.391256637
19EF0538,EF,2019-09-16,0.743454435,,2.061722248,0.290030377,0.067,0.268,0.390030377
19EF0539,EF,2019-09-16,0.743,,1.947424617,0.278,0.068,0.277,0.407
19EF0540,EF,2019-09-16,0.757,,2.372859831,0.273,0.069,0.278,0.399
19EF0541,EF,2019-09-13,0.763485714,,1.940003327,0.248821429,0.077,0.288435714,0.390871429
19EF0542,EF,2019-09-13,0.744520362,,2.756667468,0.275032579,0.073008145,0.26898371,0.364951131
19EF0543,EF,2019-09-13,0.762411538,,2.412817619,0.258578846,0.076401923,0.281617308,0.378636538
19EF0544,EF,2019-09-13,0.750433048,,2.566145377,0.277539411,0.075,0.269649573,0.364110161
19EF0545,EF,2019-09-12,0.772201599,,2.504695142,0.274,0.069801066,0.283798401,0.393596803
19EF0546,EF,2019-09-12,0.761994575,,2.570441913,0.282508137,0.07,0.28198915,0.3919783
19EF0547,EF,2019-09-12,0.756462173,,1.728887156,0.28822696,0.070537827,0.27577304,0.38654608
19EF0548,EF,2019-09-12,0.78281167,,3.671126634,0.245829578,0.071,0.293452917,0.423358752
19EF0549,EF,2019-09-12,0.784485714,,2.062376493,0.247114286,0.073628571,0.295257143,0.415628571
19EF0550,EF,2019-09-12,0.766517308,,2.371121687,0.277973077,0.069501923,0.280015385,0.389525
19EF0551,EF,2019-09-12,0.780663149,,2.638688486,0.256108766,0.073,0.293445617,0.410336851
19EF0552,EF,2019-09-12,0.774306576,,2.580724305,0.257951324,0.071,0.29087105,0.414484202
19EF0553,EF,2019-09-12,0.765523387,,2.839141435,0.268523387,0.071523387,0.285383065,0.406242742
19EF0554,EF,2019-09-12,0.759438005,,1.742997372,0.271123989,0.073438005,0.282314016,0.400752022
19EF0555,EF,2019-09-10,0.792422259,,2.476953188,0.211217676,0.078968903,0.309360065,0.423782324
19EF0556,EF,2019-09-10,0.776164218,,2.528882689,0.22193172,0.076452031,0.304808124,0.419712187
19EF0557,EF,2019-09-10,0.785662736,,1.774840565,0.213349057,0.078662736,0.306988208,0.417639151
19EF0558,EF,2019-09-10,0.779446661,,2.483183166,0.223035559,0.077,0.30248222,0.416
19EF0559,EF,2019-09-09,0.785431796,,2.135036781,0.243841021,0.072,0.298295388,0.424022571
