# These are copied from the output of the lidar_lai repository.,,,
# UTC-5,,,dimensionless
date,first_row,range,lai
2018-06-14,85,8,0.095213
2018-06-14,133,24,0.009418
2018-06-14,49,3,0.048196
2018-06-14,45,29,0.020741
2018-06-14,13,15,0.021678
2018-06-14,141,18,0.037259
2018-06-14,29,30,0.042098
2018-06-14,45,8,0.025926
2018-06-14,101,15,0.012141
2018-06-14,1,22,0.087189
2018-06-14,73,4,0.014519
2018-06-14,85,21,0.015567
2018-06-14,73,25,0.027256
2018-06-14,85,2,0.018729
2018-06-14,69,8,0.009647
2018-06-14,85,6,0.017645
2018-06-14,21,25,0.04663
2018-06-14,69,9,0.049479
2018-06-14,1,10,0.036729
2018-06-14,0,17,0.008559
2018-06-14,81,14,0.016804
2018-06-14,61,19,0.055135
2018-06-14,61,4,0.039079
2018-06-14,29,23,0.037543
2018-06-14,113,8,0.07696
2018-06-14,89,3,0.024323
2018-06-14,109,21,0.006993
2018-06-14,25,11,0.014912
2018-06-14,41,30,0.030246
2018-06-14,49,19,0.045616
2018-06-14,29,3,0.031256
2018-06-14,9,2,0.042107
2018-06-14,77,25,0.034831
2018-06-14,1,19,0.014788
2018-06-14,73,28,0.05132
2018-06-14,49,4,0.100075
2018-06-14,85,22,0.00852
2018-06-14,13,23,0.026407
2018-06-14,0,8,0.054381
2018-06-14,33,13,0.068028
2018-06-14,57,13,0.03237
2018-06-14,41,29,0.038885
2018-06-14,93,24,0.01481
2018-06-14,97,21,0.00549
2018-06-14,85,18,0.012579
2018-06-14,45,24,0.058746
2018-06-14,21,7,0.016611
2018-06-14,9,26,0.030427
2018-06-14,81,16,0.019818
2018-06-14,17,24,0.058117
2018-06-14,65,24,0.006026
2018-06-14,41,5,0.040018
2018-06-14,77,13,0.088847
2018-06-14,97,6,0.040626
2018-06-14,65,3,0.093122
2018-06-14,89,24,0.005453
2018-06-14,133,9,0.018777
2018-06-14,93,16,0.042727
2018-06-14,141,17,0.021421
2018-06-14,29,20,0.017984
2018-06-14,85,12,0.019613
2018-06-14,13,11,0.022546
2018-06-14,5,15,0.030884
2018-06-14,117,17,0.021715
2018-06-14,13,2,0.013613
2018-06-14,129,24,0.008804
2018-06-14,81,25,0.010337
2018-06-14,81,6,0.047796
2018-06-14,49,11,0.020118
2018-06-14,9,18,0.02649
2018-06-14,121,23,0.022026
2018-06-14,117,10,0.024895
2018-06-14,17,13,0.021849
2018-06-14,37,10,0.031301
2018-06-14,21,11,0.062221
2018-06-14,137,4,0.03726
2018-06-14,29,19,0.051392
2018-06-14,17,4,0.019423
2018-06-14,33,5,0.057784
2018-06-14,125,9,0.055033
2018-06-14,81,11,0.098342
2018-06-14,73,16,0.015114
2018-06-14,21,5,0.013069
2018-06-14,53,17,0.039896
2018-06-14,37,19,0.055096
2018-06-14,81,4,0.193727
2018-06-14,117,16,0.008248
2018-06-14,33,21,0.03286
2018-06-14,101,22,0.045507
2018-06-14,121,29,0.022545
2018-06-14,37,23,0.025422
2018-06-14,29,10,0.019652
2018-06-14,73,11,0.019149
2018-06-14,141,25,0.01224
2018-06-14,49,16,0.067376
2018-06-14,117,21,0.005845
2018-06-14,133,4,0.063348
2018-06-14,49,23,0.022158
2018-06-14,89,19,0.029019
2018-06-14,69,6,0.028352
2018-06-14,21,22,0.062214
2018-06-14,89,29,0.015985
2018-06-14,1,26,0.029731
2018-06-14,93,11,0.017967
2018-06-14,61,18,0.127615
2018-06-14,93,18,0.008775
2018-06-14,109,6,0.020776
2018-06-14,57,29,0.121466
2018-06-14,113,19,0.010351
2018-06-14,53,8,0.022035
2018-06-14,133,25,0.021445
2018-06-14,105,7,0.021088
2018-06-14,97,19,0.012812
2018-06-14,33,6,0.083125
2018-06-14,73,20,0.015778
2018-06-14,133,3,0.014063
2018-06-14,77,9,0.035424
2018-06-14,141,28,0.012548
2018-06-14,57,14,0.022823
2018-06-14,33,23,0.036952
2018-06-14,125,8,0.00908
2018-06-14,129,6,0.018635
2018-06-14,25,25,0.015934
2018-06-14,137,25,0.066178
2018-06-14,141,5,0.031377
2018-06-14,137,27,0.009841
2018-06-14,121,18,0.015182
2018-06-14,41,7,0.042189
2018-06-14,25,2,0.032277
2018-06-14,125,21,0.007381
2018-06-14,85,3,0.062223
2018-06-14,105,5,0.056049
2018-06-14,81,5,0.02671
2018-06-14,121,12,0.01094
2018-06-14,93,20,0.007479
2018-06-14,89,11,0.025113
2018-06-14,25,28,0.00839
2018-06-14,13,4,0.013002
2018-06-14,109,13,0.011495
2018-06-14,25,22,0.031248
2018-06-14,17,21,0.055881
2018-06-14,33,22,0.045135
2018-06-14,65,22,0.020878
