date,first_row,range,lai
6/8/2018,6,0,5.605813
6/8/2018,30,37,5.670518
6/8/2018,19,133,5.285544
6/8/2018,8,5,5.59095
6/8/2018,22,97,5.900932
6/8/2018,10,141,6.639766
6/8/2018,30,89,5.914023
6/8/2018,26,33,5.84598
6/8/2018,16,65,5.925763
6/8/2018,18,113,5.522423
6/8/2018,15,105,6.027815
6/8/2018,31,81,6.079927
6/8/2018,20,89,5.939813
6/8/2018,2,49,5.232385
6/8/2018,4,117,5.603275
6/8/2018,8,117,5.972677
6/8/2018,23,133,5.755966
6/8/2018,23,105,5.536942
6/8/2018,26,21,5.92766
6/8/2018,3,97,6.089321
6/8/2018,23,65,5.646924
6/8/2018,0,12,5.646924
6/8/2018,22,53,5.814808
6/8/2018,1,65,5.639226
6/8/2018,16,69,5.693984
6/8/2018,5,113,6.01373
6/8/2018,25,89,5.949412
6/8/2018,15,97,5.572714
6/8/2018,24,53,5.644473
6/8/2018,18,129,5.793173
6/8/2018,8,17,6.209263
6/8/2018,28,141,5.702046
6/8/2018,8,121,5.835528
6/8/2018,3,49,5.98069
6/8/2018,11,69,5.893449
6/8/2018,16,41,5.699321
6/8/2018,26,89,5.734269
6/8/2018,22,101,5.767051
6/8/2018,3,1,5.99208
6/8/2018,18,133,5.886728
6/8/2018,24,21,5.947861
6/8/2018,4,121,5.672828
6/8/2018,11,65,5.660718
6/8/2018,2,133,5.938412
6/8/2018,7,37,5.374497
6/8/2018,18,93,5.951717
6/8/2018,21,29,5.325797
6/8/2018,12,125,5.473452
6/8/2018,13,81,6.044406
6/8/2018,19,29,5.94313
6/8/2018,8,77,5.763359
6/8/2018,20,117,5.602764
6/8/2018,24,109,5.750151
6/8/2018,29,73,6.023216
6/8/2018,10,85,5.894999
6/8/2018,19,125,5.796132
6/8/2018,9,21,6.009584
6/8/2018,5,101,5.896615
6/8/2018,13,13,6.027863
6/8/2018,23,121,5.654354
6/8/2018,31,77,5.563142
6/8/2018,17,133,5.928501
6/8/2018,31,53,5.647502
6/8/2018,10,93,5.570762
6/8/2018,20,105,5.991082
6/8/2018,31,33,5.954492
6/8/2018,22,81,6.21438
6/8/2018,9,0,5.699751
6/8/2018,17,81,6.265798
6/8/2018,9,97,5.573331
6/8/2018,28,125,5.892175
6/8/2018,15,137,5.921216
6/8/2018,30,133,5.572131
6/8/2018,18,9,5.791387
