date,first_row,range,height
6/8/2018,93,20,61.727068
6/8/2018,141,11,64.058643
6/8/2018,65,19,63.397098
6/8/2018,33,25,68.001594
6/8/2018,21,6,64.732702
6/8/2018,9,20,61.48278
6/8/2018,9,7,63.296907
6/8/2018,121,13,61.822183
6/8/2018,77,16,65.837609
6/8/2018,61,19,65.228469
6/8/2018,113,17,63.155966
6/8/2018,61,25,64.721809
6/8/2018,105,31,62.906005
6/8/2018,81,18,65.910967
6/8/2018,129,2,61.362717
6/8/2018,17,9,61.974288
6/8/2018,125,15,64.226625
6/8/2018,49,16,64.074349
6/8/2018,25,9,63.79465
6/8/2018,21,8,63.200592
6/8/2018,113,26,61.692334
6/8/2018,21,7,63.664727
6/8/2018,45,14,65.228546
6/8/2018,137,21,63.456045
6/8/2018,105,25,63.267757
6/8/2018,109,21,66.187299
6/8/2018,85,15,62.087381
6/8/2018,41,20,62.655107
6/8/2018,61,22,64.624043
6/8/2018,133,12,65.554821
6/8/2018,125,23,61.330451
6/8/2018,25,18,62.351138
6/8/2018,13,3,64.472808
6/8/2018,21,13,64.045576
6/8/2018,133,1,64.154592
6/8/2018,49,10,64.96379
6/8/2018,101,19,61.738074
6/8/2018,73,10,61.845933
6/8/2018,57,24,62.605384
6/8/2018,85,12,62.62097
6/8/2018,17,27,63.404997
6/8/2018,29,4,62.795056
6/8/2018,89,15,64.494349
6/8/2018,93,14,62.888734
6/8/2018,29,27,62.537685
6/8/2018,97,27,63.128655
6/8/2018,25,7,61.483265
6/8/2018,125,10,64.650261
6/8/2018,121,30,62.572735
6/8/2018,85,17,62.786972
6/8/2018,37,24,64.370328
6/8/2018,33,1,64.404824
6/8/2018,65,13,63.561873
6/8/2018,141,13,63.244497
6/8/2018,17,14,63.495186
6/8/2018,1,6,63.967047
6/8/2018,65,26,63.799826
6/8/2018,25,21,63.947066
6/8/2018,93,2,64.395661
6/8/2018,5,7,65.344777
6/8/2018,117,9,63.551737
6/8/2018,121,27,63.53045
6/8/2018,0,20,61.974858
6/8/2018,65,10,63.753028
6/8/2018,37,6,63.58433
6/8/2018,65,8,63.169047
6/8/2018,65,4,64.666957
6/8/2018,1,10,63.51833
6/8/2018,45,27,64.252275
6/8/2018,9,19,62.242842
6/8/2018,133,27,62.315492
6/8/2018,45,18,66.549189
6/8/2018,57,9,64.44473
6/8/2018,25,8,62.062006
6/8/2018,105,21,66.060253
6/8/2018,101,21,64.46984
6/8/2018,97,29,65.082749
6/8/2018,89,28,63.246011
6/8/2018,81,8,65.079556
6/8/2018,109,4,64.302358
6/8/2018,97,6,63.246467
6/8/2018,85,14,68.028695
6/8/2018,49,6,63.967856
6/8/2018,93,12,63.618029
6/8/2018,97,17,66.648125
6/8/2018,105,10,63.187006
6/8/2018,137,11,62.732433
6/8/2018,85,9,62.803512
6/8/2018,57,23,61.084422
6/8/2018,41,29,64.562324
6/8/2018,17,28,62.835355
6/8/2018,129,8,64.424393
6/8/2018,101,30,64.768553
6/8/2018,73,5,62.943252
6/8/2018,125,6,64.656839
6/8/2018,89,19,62.952913
6/8/2018,105,19,62.582549
6/8/2018,121,16,61.577329
6/8/2018,37,5,66.540497
6/8/2018,53,1,63.214352
6/8/2018,13,2,65.962019
6/8/2018,109,14,62.996906
6/8/2018,37,25,65.965659
6/8/2018,1,21,61.109234
6/8/2018,45,11,65.918928
6/8/2018,21,22,64.474886
6/8/2018,81,30,62.973359
6/8/2018,121,29,61.523112
6/8/2018,25,26,62.6318
6/8/2018,101,16,63.242509
6/8/2018,81,23,62.87606
6/8/2018,77,20,61.651103
6/8/2018,53,16,62.555835
6/8/2018,121,18,62.061946
6/8/2018,69,15,64.750023
6/8/2018,61,15,64.286655
6/8/2018,101,24,63.167572
6/8/2018,13,17,63.926117
6/8/2018,1,16,62.165504
6/8/2018,33,13,63.088037
6/8/2018,133,26,62.662725
6/8/2018,57,17,62.089912
6/8/2018,53,25,62.878919
6/8/2018,5,22,61.728366
6/8/2018,101,17,62.647616
6/8/2018,13,26,63.062688
6/8/2018,57,27,62.610552
6/8/2018,121,3,64.863615
6/8/2018,5,21,63.201203
6/8/2018,33,3,65.684494
6/8/2018,105,11,62.493885
6/8/2018,117,26,62.509659
6/8/2018,81,1,63.943757
6/8/2018,109,19,62.20533
6/8/2018,37,2,64.806863
6/8/2018,113,30,65.077363
6/8/2018,105,13,62.871965
6/8/2018,109,3,63.215007
6/8/2018,117,12,62.744316
6/8/2018,9,25,62.277762
6/8/2018,113,11,62.08628
6/8/2018,93,4,65.41103
6/8/2018,109,29,64.462327
6/8/2018,85,3,64.406291
6/8/2018,21,11,63.78952
6/8/2018,45,9,64.755714
6/8/2018,33,9,65.900958
6/8/2018,17,24,64.450126
6/8/2018,33,20,65.848169
6/8/2018,73,2,62.283796
6/8/2018,93,19,62.062336
6/8/2018,97,5,63.762595
6/8/2018,129,19,62.538336
6/8/2018,85,22,61.852248
6/8/2018,85,18,63.200189
6/8/2018,141,30,65.602222
6/8/2018,105,5,64.484156
6/8/2018,101,4,67.097873
6/8/2018,21,23,62.733481
6/8/2018,0,14,63.685545
6/8/2018,33,11,63.633879
6/8/2018,121,21,62.258136
6/8/2018,53,13,63.295178
6/8/2018,13,10,63.302464
6/8/2018,101,8,64.616293
6/8/2018,9,4,62.733292
6/8/2018,129,20,62.671348
6/8/2018,137,24,65.477135
6/8/2018,53,30,63.438035
6/8/2018,121,2,63.718859
6/8/2018,0,26,62.410012
6/8/2018,109,12,63.446325
6/8/2018,61,30,67.287302
6/8/2018,0,8,61.843238
6/8/2018,109,13,62.649274
6/8/2018,97,24,62.918482
6/8/2018,9,24,63.65357
6/8/2018,41,25,64.056983
6/8/2018,133,10,65.162562
6/8/2018,125,16,63.34006
6/8/2018,73,12,62.249772
6/8/2018,25,25,67.863035
6/8/2018,81,15,64.88191
6/8/2018,121,25,65.606155
6/8/2018,93,30,64.195583
6/8/2018,21,20,62.908674
6/8/2018,33,6,64.525633
6/8/2018,93,13,62.758225
6/8/2018,5,20,62.553087
6/8/2018,61,26,65.237566
6/8/2018,81,10,64.402928
6/8/2018,65,28,63.27915
6/8/2018,49,12,62.689464
6/8/2018,77,28,63.038589
6/8/2018,21,17,64.038575
6/8/2018,1,2,62.457298
6/8/2018,73,28,63.236645
6/8/2018,97,11,62.79807
6/8/2018,33,27,64.71224
6/8/2018,137,8,62.495996
6/8/2018,133,13,65.375782
6/8/2018,137,31,62.923945
6/8/2018,13,23,63.496038
6/8/2018,141,3,62.636343
6/8/2018,97,25,62.391791
6/8/2018,141,29,64.440599
6/8/2018,77,1,64.675749
6/8/2018,125,26,61.943863
6/8/2018,53,3,62.986271
6/8/2018,9,6,67.381305
6/8/2018,45,26,64.186174
6/8/2018,25,22,61.949348
6/8/2018,97,18,63.363115
6/8/2018,37,20,63.216822
6/8/2018,17,1,64.077926
6/8/2018,89,12,61.645853
6/8/2018,13,15,64.595406
6/8/2018,9,2,63.654059
6/8/2018,85,27,65.630375
6/8/2018,93,28,64.958716
6/8/2018,65,2,63.854435
6/8/2018,69,22,64.486281
6/8/2018,93,27,63.962296
6/8/2018,81,25,63.641177
6/8/2018,49,15,62.175265
6/8/2018,33,23,64.06886
6/8/2018,77,9,63.886821
6/8/2018,45,7,65.334046
6/8/2018,117,19,62.596013
6/8/2018,13,18,64.211578
6/8/2018,117,13,63.086916
6/8/2018,93,9,64.588671
6/8/2018,81,16,65.481457
6/8/2018,133,11,64.457867
6/8/2018,73,3,62.899
6/8/2018,77,7,63.045788
6/8/2018,125,31,65.937333
6/8/2018,37,9,64.1545
6/8/2018,13,20,64.039853
6/8/2018,101,27,63.275771
6/8/2018,5,9,64.595383
6/8/2018,29,13,64.938415
6/8/2018,101,9,66.490367
6/8/2018,21,2,64.046424
6/8/2018,113,9,62.725237
6/8/2018,81,21,63.108678
6/8/2018,65,3,63.273856
6/8/2018,61,8,65.110007
6/8/2018,121,17,62.887428
6/8/2018,85,11,61.566367
6/8/2018,101,31,64.660163
6/8/2018,25,19,62.71423
6/8/2018,0,15,62.052349
6/8/2018,61,4,65.79944
6/8/2018,29,31,65.123959
6/8/2018,49,8,64.774571
6/8/2018,1,26,62.045148
6/8/2018,1,11,62.858551
6/8/2018,141,9,73.335901
6/8/2018,25,27,61.885065
6/8/2018,61,6,63.910039
6/8/2018,29,30,68.454596
6/8/2018,77,23,63.641039
6/8/2018,73,11,61.359294
6/8/2018,137,20,62.334964
6/8/2018,133,8,62.331182
6/8/2018,49,29,64.034438
6/8/2018,53,12,63.796716
6/8/2018,85,5,63.532584
6/8/2018,17,26,62.613538
6/8/2018,49,14,63.744257
6/8/2018,105,2,63.095726
6/8/2018,117,2,65.67641
6/8/2018,45,8,65.825414
6/8/2018,41,13,63.045695
6/8/2018,1,12,61.507728
6/8/2018,93,7,64.401925
6/8/2018,73,1,62.852703
6/8/2018,69,27,63.589818
6/8/2018,1,9,62.851935
6/8/2018,61,1,72.676998
6/8/2018,85,20,61.252072
6/8/2018,101,29,64.82612
6/8/2018,57,31,67.093877
6/8/2018,133,15,63.292905
6/8/2018,89,24,63.044804
6/8/2018,129,14,64.556812
6/8/2018,101,10,64.014288
6/8/2018,109,5,62.616584
6/8/2018,21,14,64.343632
6/8/2018,81,26,62.60799
6/8/2018,105,9,63.017142
6/8/2018,101,18,63.970984
6/8/2018,0,2,62.30615
6/8/2018,73,13,62.709365
6/8/2018,25,24,64.027806
6/8/2018,25,20,62.067718
6/8/2018,129,26,62.465932
6/8/2018,17,31,63.363902
6/8/2018,69,19,64.585965
6/8/2018,5,25,63.686062
6/8/2018,89,31,64.700177
